Latitude,Longitude,scientific_name
42.39991761,-85.39397478,Solanum carolinense
40.04394167,-75.34623667,Solanum carolinense
37.57296716,-89.44014395,Solanum carolinense
40.04345283,-75.345955,Solanum carolinense
37.65959749,-77.34775722,Solanum carolinense
37.68621772,-89.26170588,Solanum carolinense
41.32895,-79.10399717,Solanum carolinense
38.88468,-76.79496167,Solanum carolinense
39.2281004,-76.7469227,Solanum carolinense
39.2254211,-76.7444754,Solanum carolinense
39.22798205,-76.74213186,Solanum carolinense
39.22569806,-76.74261197,Solanum carolinense
39.22789781,-76.74213999,Solanum carolinense
39.22791851,-76.74582208,Solanum carolinense
39.22810652,-76.74612793,Solanum carolinense
34.67094683,-82.82502651,Solanum carolinense
39.22664905,-76.74471405,Solanum carolinense
39.22682927,-76.74358707,Solanum carolinense
39.22612592,-76.7451462,Solanum carolinense
39.22798037,-76.74387043,Solanum carolinense
39.22411858,-76.74287508,Solanum carolinense
39.22408065,-76.74296712,Solanum carolinense
39.22663889,-76.74470728,Solanum carolinense
39.22401753,-76.74301179,Solanum carolinense
37.348701,-89.244776,Solanum carolinense
37.348701,-89.244776,Solanum carolinense
39.2252301,-76.74338453,Solanum carolinense
39.2277995,-76.7429722,Solanum carolinense
39.226952,-76.743792,Solanum carolinense
39.22473959,-76.74541639,Solanum carolinense
39.2249716,-76.74522528,Solanum carolinense
39.22475874,-76.74538462,Solanum carolinense
39.226664,-76.742131,Solanum carolinense
39.226664,-76.742131,Solanum carolinense
36.18710278,-78.55872222,Solanum carolinense
37.81160833,-78.49285833,Solanum carolinense
40.46993498,-74.42962646,Solanum carolinense
39.479471,-75.98095,Solanum carolinense
35.9104805,-78.91012573,Solanum carolinense
30.72962606,-94.1383481,Solanum carolinense
37.41740833,-77.246535,Solanum carolinense
34.54258279,-82.65972549,Solanum carolinense
37.19059722,-80.31973333,Solanum carolinense
41.52131419,-87.90722251,Solanum carolinense
35.90335863,-79.03665554,Solanum carolinense
40.5239819,-74.4355071,Solanum carolinense
40.4805703,-74.43882158,Solanum carolinense
35.27160333,-80.64972,Solanum carolinense
38.52468667,-78.43839167,Solanum carolinense
35.90667,-79.05837217,Solanum carolinense
42.6207951,-83.8473015,Solanum carolinense
42.6207951,-83.8473015,Solanum carolinense
35.92856388,-78.58072455,Solanum carolinense
38.5130125,-78.43340995,Solanum carolinense
39.099641,-76.583794,Solanum carolinense
39.10235596,-76.79685211,Solanum carolinense
39.22397504,-76.74295899,Solanum carolinense
42.58987255,-83.97392667,Solanum carolinense
38.981251,-76.452066,Solanum carolinense
38.9417359,-83.6507541,Solanum carolinense
40.480612,-74.439033,Solanum carolinense
41.11093889,-73.86574444,Solanum carolinense
40.59337653,-74.54489708,Solanum carolinense
40.6236904,-80.1137638,Solanum carolinense
40.62514191,-74.57609653,Solanum carolinense
41.44718667,-81.83767833,Solanum carolinense
42.91121556,-81.2590456,Solanum carolinense
40.54814592,-74.62459087,Solanum carolinense
35.76171397,-78.77777059,Solanum carolinense
30.9180347,-94.0025142,Solanum carolinense
36.42305166,-92.17307453,Solanum carolinense
37.37883882,-88.97073565,Solanum carolinense
37.37862194,-88.97057354,Solanum carolinense
35.63343336,-82.5997214,Solanum carolinense
36.37220014,-79.08119248,Solanum carolinense
39.07107882,-76.77383426,Solanum carolinense
40.36798,-74.954025,Solanum carolinense
35.22845205,-81.07850008,Solanum carolinense
35.48645964,-80.848604,Solanum carolinense
31.96891333,-94.30180333,Solanum carolinense
37.413387,-88.978151,Solanum carolinense
35.5203412,-81.00801401,Solanum carolinense
35.492175,-80.99118,Solanum carolinense
37.40063667,-88.97708833,Solanum carolinense
38.3843657,-96.1777241,Solanum carolinense
41.61914582,-87.09926605,Solanum carolinense
34.391334,-94.732933,Solanum carolinense
30.21796167,-97.653045,Solanum carolinense
40.62418102,-74.57588196,Solanum carolinense
41.11020278,-73.83569444,Solanum carolinense
40.75229667,-88.23228333,Solanum carolinense
37.60788,-77.46523333,Solanum carolinense
37.627145,-77.42800333,Solanum carolinense
36.13514667,-87.10163,Solanum carolinense
35.817422,-81.180358,Solanum carolinense carolinense
35.817422,-81.180358,Solanum carolinense carolinense
35.817422,-81.180358,Solanum carolinense carolinense
35.817422,-81.180358,Solanum carolinense carolinense
37.5967985,-77.47428775,Solanum carolinense
37.65973662,-77.34688282,Solanum carolinense
35.03095358,-85.55800513,Solanum carolinense
39.57274848,-76.50299549,Solanum carolinense
35.05655988,-85.33485901,Solanum carolinense
40.40322175,-74.12816294,Solanum carolinense
37.63293215,-77.47623235,Solanum carolinense
37.6181797,-77.4309078,Solanum carolinense
34.63108922,-84.43911552,Solanum carolinense
35.316409,-82.8673356,Solanum carolinense
35.93035,-83.87629722,Solanum carolinense
39.05772781,-81.85398865,Solanum carolinense
32.31575292,-95.1919198,Solanum carolinense
34.14219632,-82.0230031,Solanum carolinense
38.810837,-90.184212,Solanum carolinense
40.6236904,-80.1137638,Solanum carolinense
39.91098235,-75.6790638,Solanum carolinense
35.595058,-82.551487,Solanum carolinense
40.62603763,-74.57386494,Solanum carolinense
39.7991632,-75.65872192,Solanum carolinense
40.67347773,-74.27092552,Solanum carolinense
39.57092906,-76.50449753,Solanum carolinense
41.11127245,-73.33045721,Solanum carolinense
40.55887364,-74.52906132,Solanum carolinense
38.7934466,-77.2716505,Solanum carolinense
45.50293723,9.87669533,Solanum carolinense
32.68149762,-80.34356743,Solanum carolinense
40.29381647,-74.71884211,Solanum carolinense
40.2946993,-74.71917646,Solanum carolinense
33.70821897,-97.0496006,Solanum carolinense
40.29380985,-74.71879559,Solanum carolinense
40.29380482,-74.71885577,Solanum carolinense
34.11694447,-84.49772877,Solanum carolinense
40.29501932,-74.71937243,Solanum carolinense
