"","Pop","Ppop_ID","Latitude","Trichomes_Garden","Trichomes_Field","SLA_Garden","SLA_Field","Conc_Garden","Conc_Field"
"314","N5","Culvan-5",42.442998,NA,100,NA,113.619047619048,NA,0.88892769524182
"315","N5","Culvan-6",42.442998,NA,152,NA,127.961165048544,NA,0.446813926156489
"316","N5","N5 - Plant 1",42.442998,NA,132,NA,128.43537414966,NA,0.182654066640479
"317","N5","N5 - Plant 10",42.442998,NA,178,NA,163.974358974359,NA,0.153180844671191
"318","N5","N5 - Plant 11",42.442998,NA,107,NA,260.740740740741,NA,0.526696237703321
"319","N5","N5 - Plant 3",42.442998,NA,167,NA,139.558823529412,NA,0.36414321891531
"320","N5","N5 - Plant 4",42.442998,NA,240,NA,96.8897637795276,NA,0.890219497062919
"321","N5","N5 - Plant 5",42.442998,NA,217,NA,105.026737967914,NA,0.732751691612433
"322","N5","N5 - Plant 6",42.442998,NA,281,NA,133.245033112583,NA,0.396524124275146
"323","N5","N5 - Plant 7",42.442998,NA,289,NA,106.698113207547,NA,1.11592387842639
"324","N5","N5 - Plant 8",42.442998,NA,137,NA,105.620437956204,NA,1.20532665660874
"325","N5","N5 - Plant 9",42.442998,NA,201,NA,143.202247191011,NA,0.506015445416456
"326","N5","N5-3F",42.442998,87,NA,172.690909090909,NA,0.625790916568864,NA
"327","N5","N5-3G",42.442998,41,NA,226.164383561644,NA,0.737948692587951,NA
"328","N5","N5-4D",42.442998,98,NA,187.383720930233,NA,0.587196204123569,NA
"329","N5","N5-4G",42.442998,95,NA,127.789699570815,NA,1.14312920841632,NA
"330","N5","N5-5F",42.442998,63.5,NA,211.744186046512,NA,0.715810347756882,NA
"331","N5","N5-6A",42.442998,80.25,NA,162.057142857143,NA,0.655201624315537,NA
"332","N6","N6 - Plant 1",42.426433,NA,323,NA,149.545454545455,NA,0.373249221316595
"333","N6","N6 - Plant 2",42.426433,NA,190,NA,179.166666666667,NA,0.339835978514784
"334","N6","N6 - Plant 3",42.426433,NA,276,NA,142.566371681416,NA,0.514930411608869
"335","N6","N6 - Plant 4",42.426433,NA,415,NA,135.434782608696,NA,0.451650425505762
"336","N6","N6 - Plant 5",42.426433,NA,174,NA,235.818181818182,NA,0.142616649072026
