"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"N5",2022-08-10,"2022","Culvan-5","Field","2022",1.193,0.0105,100,0.88892769524182,0,NA,NA,NA,31,113.619047619048
"N5",2022-06-17,"2022","N5 - Plant 5","Field","2022",1.964,0.0187,217,0.732751691612433,0.01,NA,NA,NA,21,105.026737967914
"N5",2022-08-10,"2022","Culvan-6","Field","2022",1.318,0.0103,152,0.446813926156489,0.06,NA,NA,NA,61,127.961165048544
"N5",2022-06-17,"2022","N5 - Plant 6","Field","2022",2.012,0.0151,281,0.396524124275146,0.01,NA,NA,NA,37,133.245033112583
"N5",2022-06-17,"2022","N5 - Plant 7","Field","2022",1.131,0.0106,289,1.11592387842639,0,NA,NA,NA,16,106.698113207547
"N5",2022-06-17,"2022","N5 - Plant 8","Field","2022",1.447,0.0137,137,1.20532665660874,0,NA,NA,NA,18,105.620437956204
"N5",2022-06-17,"2022","N5 - Plant 9","Field","2022",2.549,0.0178,201,0.506015445416456,0.02,NA,NA,NA,39,143.202247191011
"N5",2022-06-17,"2022","N5 - Plant 10","Field","2022",1.279,0.0078,178,0.153180844671191,0.03,NA,NA,NA,30,163.974358974359
"N5",2022-06-17,"2022","N5 - Plant 11","Field","2022",2.112,0.0081,107,0.526696237703321,0.03,NA,NA,NA,32,260.740740740741
"N6",2022-06-17,"2022","N6 - Plant 1","Field","2022",0.987,0.0066,323,0.373249221316595,0.02,NA,NA,NA,20,149.545454545455
"N6",2022-06-17,"2022","N6 - Plant 2","Field","2022",1.29,0.0072,190,0.339835978514784,0,NA,NA,NA,37,179.166666666667
"N6",2022-06-17,"2022","N6 - Plant 3","Field","2022",1.611,0.0113,276,0.514930411608869,0,NA,NA,NA,40,142.566371681416
"N6",2022-06-17,"2022","N6 - Plant 4","Field","2022",1.246,0.0092,415,0.451650425505762,0,NA,NA,NA,22,135.434782608696
"N6",2022-06-17,"2022","N6 - Plant 5","Field","2022",1.297,0.0055,174,0.142616649072026,0.01,NA,NA,NA,26,235.818181818182
"N6",2022-06-17,"2022","N6 - Plant 6","Field","2022",1.653,0.011,251,0.245207678808178,0,NA,NA,NA,24,150.272727272727
"N6",2022-06-17,"2022","N6 - Plant 7","Field","2022",1.518,0.0074,126,0.377306852529023,0.03,NA,NA,NA,41,205.135135135135
"N6",2022-06-17,"2022","N6 - Plant 8","Field","2022",1.807,0.009,171,0.465307170081127,0,NA,NA,NA,44,200.777777777778
"N8",2022-06-17,"2022","N8 - Plant 1","Field","2022",2.422,0.0161,98,0.288373926836354,0.01,NA,NA,NA,37,150.434782608696
"N8",2022-06-17,"2022","N8 - Plant 2","Field","2022",2.795,0.0204,96,0.234887359096606,0,NA,NA,NA,35,137.009803921569
"N8",2022-06-17,"2022","N8 - Plant 3","Field","2022",2.534,0.0225,306,0.21398869994748,0.05,NA,NA,NA,38,112.622222222222
"N8",2022-06-17,"2022","N8 - Plant 4","Field","2022",2.547,0.0182,118,0.227808529354075,0.02,NA,NA,NA,24,139.945054945055
"N8",2022-06-17,"2022","N8 - Plant 5","Field","2022",5.262,0.043,78,0.330368825328798,0.03,NA,NA,NA,26,122.372093023256
"N8",2022-06-17,"2022","N8 - Plant 6","Field","2022",3.686,0.0317,126,0.596840498722505,0.01,NA,NA,NA,34,116.277602523659
"N8",2022-06-17,"2022","N8 - Plant 7","Field","2022",2.794,0.0217,94,0.37989843282568,0,NA,NA,NA,27,128.755760368664
"N8",2022-06-17,"2022","N8 - Plant 8","Field","2022",1.637,0.0134,124,0.382478508784582,0,NA,NA,NA,25,122.164179104478
"N8",2022-06-17,"2022","N8 - Plant 9","Field","2022",1.67,0.0116,122,0.529686513566706,0,NA,NA,NA,24,143.965517241379
"N8",2022-06-17,"2022","N8 - Plant 10","Field","2022",1.677,0.0159,158,0.217438893240327,0,NA,NA,NA,24,105.471698113208
"N9",2022-08-12,"2022","UWM-1","Field","2022",1.795,0.0157,104,0.309407073260848,0.02,NA,NA,NA,31,114.331210191083
"N9",2022-08-12,"2022","UWM-2","Field","2022",1.185,0.0104,100,0.450247280524481,0.01,NA,NA,NA,47,113.942307692308
"N9",2022-08-12,"2022","UWM-3","Field","2022",1.309,0.012,116,0.691191390848019,0.02,NA,NA,NA,33,109.083333333333
"N9",2022-08-12,"2022","UWM-4","Field","2022",2.519,0.0181,76,0.556048428799775,0.04,NA,NA,NA,30,139.171270718232
"N9",2022-08-12,"2022","UWM-5","Field","2022",1.877,0.0145,84,0.684664522661236,0.02,NA,NA,NA,31,129.448275862069
"N9",2022-08-12,"2022","UWM-6","Field","2022",2.036,0.0147,72,0.814384368350882,0,NA,NA,NA,30,138.503401360544
"N10",2022-08-12,"2022","Kettle-2","Field","2022",1.2,0.0062,60,0.708832591401194,0,NA,NA,NA,20,193.548387096774
"N10",2022-08-12,"2022","Kettle-3","Field","2022",1.21,0.0064,44,0.693852940238927,0,NA,NA,NA,30,189.0625
"N10",2022-08-12,"2022","Kettle-4","Field","2022",1.07,0.0074,68,0.88317900646543,0,NA,NA,NA,28,144.594594594595
"N10",2022-08-12,"2022","Kettle-5","Field","2022",1.45,0.0111,96,0.447547433891198,0,NA,NA,NA,31,130.630630630631
"N10",2022-08-12,"2022","Kettle-6","Field","2022",1.145,0.0049,56,0.286001078302304,0,NA,NA,NA,26,233.673469387755
"N7",2022-06-17,"2022","N7A - Plant 1","Field","2022",2.24,0.0153,295,0.499939463627714,0,NA,NA,NA,53,146.40522875817
"N7",2022-06-17,"2022","N7A - Plant 2","Field","2022",2.061,0.0157,247,0.300196125388446,0,NA,NA,NA,20,131.273885350318
"N7",2022-06-17,"2022","N7A - Plant 3","Field","2022",2.497,0.0128,139,0.489193752167675,0,NA,NA,NA,32,195.078125
"N7",2022-06-17,"2022","N7A - Plant 4","Field","2022",1.475,0.0095,395,0.914479353620102,0,NA,NA,NA,29,155.263157894737
"N7",2022-06-17,"2022","N7A - Plant 5","Field","2022",2.296,0.0182,250,0.899756473536931,0,NA,NA,NA,25,126.153846153846
"N7",2022-06-17,"2022","N7A - Plant 6","Field","2022",3.502,0.0171,94,0.599209549908885,0.02,NA,NA,NA,57,204.795321637427
"N7",2022-06-17,"2022","N7A - Plant 7","Field","2022",1.92,0.0156,242,0.385562143056566,0,NA,NA,NA,38,123.076923076923
"N7",2022-06-17,"2022","N7A - Plant 8","Field","2022",2.64,0.0174,226,0.631330547228936,0,NA,NA,NA,25,151.724137931035
"N7",2022-06-17,"2022","N7A - Plant 9","Field","2022",2.461,0.022,455,0.078583659764711,0,NA,NA,NA,33,111.863636363636
"N7",2022-06-17,"2022","N7A - Plant 10","Field","2022",2.213,0.0179,398,0.3121089724677,0,NA,NA,NA,32,123.631284916201
"N7",2022-06-17,"2022","N7A - Plant 11","Field","2022",1.397,0.0089,160,0.210189863685847,0,NA,NA,NA,24,156.966292134831
"N7",2022-08-10,"2022","Deer-Run-1","Field","2022",3.104,0.0248,100,0.337856608855072,0.01,NA,NA,NA,46,125.161290322581
"N7",2022-08-10,"2022","Deer-Run-2","Field","2022",1.247,0.0089,116,0.398998158305442,0.06,NA,NA,NA,44,140.112359550562
"N7",2022-08-10,"2022","Deer-Run-3","Field","2022",1.602,0.0147,188,0.122353809482876,0.05,NA,NA,NA,55,108.979591836735
"N7",2022-08-10,"2022","Deer-Run-5","Field","2022",1.582,0.0136,116,0.148966071470165,0.02,NA,NA,NA,53,116.323529411765
"N7",2022-08-10,"2022","Deer-Run-6","Field","2022",1.187,0.012,144,0.461175083639413,0.03,NA,NA,NA,37,98.9166666666667
"DUDU",2022-06-06,"2022","Plant1_Pop Dudu","Field","2022",1.756,0.0111,45,0.532265336947444,0.01,NA,NA,NA,33,158.198198198198
"DUDU",2022-06-06,"2022","Plant2_Pop Dudu","Field","2022",2.768,0.0166,101,0.230981640827668,0,NA,NA,NA,41,166.746987951807
"DUDU",2022-06-06,"2022","Plant3_Pop Dudu","Field","2022",3.27,0.0221,104,0.470891629785498,0.01,NA,NA,NA,43,147.963800904977
"DUDU",2022-06-06,"2022","Plant4_Pop Dudu","Field","2022",2.203,0.0139,109,0.817630337807423,0,NA,NA,NA,26,158.489208633094
"DUDU",2022-06-06,"2022","Plant5_Pop Dudu","Field","2022",4.194,0.0406,86,0.235182867731069,0.01,NA,NA,NA,30,103.300492610837
"DUDU",2022-06-06,"2022","Plant6_Pop Dudu","Field","2022",2.726,0.0178,85,0.278372009644625,0.02,NA,NA,NA,27,153.14606741573
