Well,Sample,Abs,Plate,Rep
G08,331,0.3883,2,3
H08,331,0.4189,2,4
A11,333,0.5274,2,1
B11,333,0.4912,2,2
C11,333,0.3916,2,3
D11,333,0.5041,2,4
E05,335,0.4504,1,1
F05,335,0.4477,1,2
G05,335,0.4357,1,3
H05,335,0.4398,1,4
E09,337,0.5678,2,1
F09,337,0.5536,2,2
G09,337,0.5248,2,3
H09,337,0.5472,2,4
E05,339,0.4328,1,1
F05,339,0.414,1,2
G05,339,0.4399,1,3
H05,339,0.4454,1,4
G09,341,0.3898,2,3
H09,341,0.4509,2,4
C11,343,0.2517,2,1
D11,343,0.35,2,2
E11,343,0.3223,2,3
F11,343,0.2421,2,4
A04,345,0.4719,1,1
B04,345,0.4667,1,2
C04,345,0.468,1,3
D04,345,0.4547,1,4
E06,347,0.4529,1,1
F06,347,0.4618,1,2
G06,347,0.4344,1,3
H06,347,0.4162,1,4
A02,349,0.3239,2,1
B10,349,0.3401,2,2
C10,349,0.314,2,3
D10,349,0.314,2,4
A04,351,0.5524,1,1
B04,351,0.5306,1,2
C04,351,0.5101,1,3
D04,351,0.5337,1,4
A05,353,0.5186,1,1
B05,353,0.5662,1,2
C05,353,0.4493,1,3
D05,353,0.5023,1,4
A06,355,0.4514,1,1
B06,355,0.4476,1,2
C06,355,0.4406,1,3
D06,355,0.4473,1,4
A03,357,0.3377,2,1
B11,357,0.3418,2,2
C11,357,0.233,2,3
D11,357,0.3243,2,4
C02,360,0.286,2,1
D02,360,0.35,2,2
E02,360,0.362,2,3
F02,360,0.2502,2,4
A11,361,0.3694,2,1
B11,361,0.3546,2,2
G11,361,0.3116,2,3
H11,361,0.3304,2,4
E07,363,0.4382,1,1
F07,363,0.4416,1,2
G07,363,0.4443,1,3
H07,363,0.4433,1,4
E06,367,0.5639,1,1
F06,367,0.5838,1,2
G06,367,0.5876,1,3
H06,367,0.5896,1,4
E08,369,0.5574,1,1
F08,369,0.4515,1,2
G08,369,0.5884,1,3
H08,369,0.5766,1,4
E07,371,0.5524,1,1
F07,371,0.8884,1,2
G07,371,0.6849,1,3
H07,371,0.5618,1,4
A05,373,0.5168,1,1
B05,373,0.5111,1,2
C05,373,0.4492,1,3
D05,373,0.508,1,4
E08,375,0.4663,1,1
F08,375,0.4618,1,2
G08,375,0.5924,1,3
H08,375,0.494,1,4
A06,377,0.5194,1,1
B06,377,0.5257,1,2
C06,377,0.482,1,3
D06,377,0.4889,1,4
A01,380,0.3359,2,3
B01,380,0.3679,2,4
C01,380,0.3725,2,1
D01,380,0.3897,2,2
A10,383,0.4636,1,1
B10,383,0.4532,1,2
C10,383,0.4605,1,3
D10,383,0.463,1,4
A07,385,0.5146,1,1
B07,385,0.5147,1,2
C07,385,0.5166,1,3
D07,385,0.513,1,4
E09,387,0.4676,1,1
F09,387,0.4715,1,2
G09,387,0.4648,1,3
H09,387,0.4718,1,4
E10,389,0.4039,1,1
F10,389,0.4153,1,2
