Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
KAN-18,KAN,6/27/2023,18,20,6,0,4,0,0,0,0,0,0,16,0,0,0,144,7,0.547,0.0024
KAN-19,KAN,6/27/2023,19,20,4,0,0,0,0,0,0,0,0,24,0,0,0,156,11,1.05,0.0067
KAN-20,KAN,6/27/2023,20,16,8,0,1,0,0,0,0,0,0,4,0,0,0,248,12,0.941,0.0087
KAN-21,KAN,6/27/2023,21,21,8,4,8,0,0,0,0,0,0,28,0,0,0,196,8,0.835,0.0074
KAN-22,KAN,6/27/2023,22,16,8,0.5,18,0,0,0,0,0,0,24,0,0,0,208,13,0.887,0.0077
KAN-23,KAN,6/27/2023,23,26,6,0.5,10,0,0,0,0,0,0,20,0,0,0,164,9,1.049,0.0077
KAN-24,KAN,6/27/2023,24,30,7,0,5,0,0,0,0,0,0,32,0,0,0,184,17,1.082,0.0089
KAN-25,KAN,6/27/2023,25,22,6,1,1,0,0,0,0,0,0,28,0,0,0,176,13,1.323,0.0101
KAN-26,KAN,6/27/2023,26,26,6,0,1,0,0,0,0,0,0,4,0,0,0,188,17,1.25,0.0097
KAN-27,KAN,6/27/2023,27,19,7,0,0,0,0,0,0,0,0,12,0,0,0,144,11,1.066,0.0083
KAN-28,KAN,6/27/2023,28,17,7,1,0.5,0,0,0,0,0,0,28,0,0,0,196,8,0.621,0.0041
KAN-29,KAN,6/27/2023,29,16,7,0,5,0,0,0,0,0,0,24,0,0,0,158,11,0.776,0.005
KAN-30,KAN,6/27/2023,30,14,8,0,3,0,0,0,0,0,0,20,0,0,0,164,11,0.979,0.0081
TAL-1,TAL,7/6/2023,1,41,6,0,30,0,0,0,0,0,0,8,0,0,0,84,8,2.429,0.0122
TAL-2,TAL,7/6/2023,2,37,9,0,13,0,0,0,0,0,2,12,0,0,0,176,12,1.136,0.0087
TAL-3,TAL,7/6/2023,3,19,20,1,7,0,0,0,0,0,0,16,0,0,0,144,8,1.238,0.0068
TAL-4,TAL,7/6/2023,4,38,9,0,13,0,0,0,0,0,1,12,0,0,0,92,6,1.159,0.0059
TAL-5,TAL,7/6/2023,5,40,9,0,10,0,0,0,0,0,1,12,0,0,0,104,8,1.545,0.0092
TAL-6,TAL,7/6/2023,6,21,8,0,19,0,0,0,0,0,0,8,0,0,0,192,6,0.733,0.0042
TAL-7,TAL,7/6/2023,7,33,6,0,12,0,0,0,0,0,0,16,0,0,0,116,8,1.416,0.0064
TAL-8,TAL,7/6/2023,8,35,10,0,9,0,0,0,0,0,0,12,0,0,0,156,9,0.881,0.0045
TAL-9,TAL,7/6/2023,9,31,6,0,13,0,0,0,0,0,1,12,0,0,0,152,8,1.035,0.006
TAL-10,TAL,7/6/2023,10,39,16,0,10,0,0,0,0,0,0,20,0,0,0,132,7,0.735,0.0036
TAL-11,TAL,7/6/2023,11,34,6,0,16,0,0,0,0,0,1,4,0,0,0,124,7,0.912,0.006
