"","Pop","Year","image_date","NPP_g"
"459","CAH",2018,2018-07-20,0.0151666666666667
"460","CAH",2018,2018-07-28,0.00995
"461","CAH",2019,2019-05-01,0.035325
"462","CAH",2019,2019-05-09,0.035847619047619
"463","CAH",2019,2019-05-25,0.0310916666666667
"464","CAH",2019,2019-06-02,0.02689
"465","CAH",2019,2019-06-10,0.0351736842105263
"466","CAH",2019,2019-06-18,0.0225642857142857
"467","CAH",2019,2019-06-26,0.0223333333333333
"468","CAH",2019,2019-07-04,0.0154857142857143
"469","CAH",2019,2019-07-20,0.0234117647058824
"470","CAH",2019,2019-07-28,0.0106428571428571
"471","CAH",2020,2020-05-08,0.0395142857142857
"472","CAH",2020,2020-05-16,0.02754
"473","CAH",2020,2020-05-24,0.0387666666666667
"474","CAH",2020,2020-06-01,0.0309166666666667
"475","CAH",2020,2020-06-09,0.04015
"476","CAH",2020,2020-07-11,0.0181705882352941
"477","CAH",2020,2020-07-19,0.0126444444444444
"478","CAH",2020,2020-07-27,0.0198166666666667
"479","CAH",2021,2021-05-01,0.04125
"480","CAH",2021,2021-05-09,0.0412722222222222
"481","CAH",2021,2021-05-17,0.0413636363636364
"482","CAH",2021,2021-05-25,0.04285
"483","CAH",2021,2021-06-10,0.0327466666666667
"484","CAH",2021,2021-06-18,0.0381076923076923
"485","CAH",2021,2021-06-26,0.02855
"486","CAH",2021,2021-07-04,0.0292416666666667
"487","CAH",2021,2021-07-20,0.0065
"488","CAH",2021,2021-07-28,0.0186692307692308
"489","CAH",2022,2022-05-01,0.0441363636363636
"490","CAH",2022,2022-05-09,0.0461333333333333
"491","CAH",2022,2022-05-17,0.0323083333333333
"492","CAH",2022,2022-05-25,0.0359764705882353
"493","CAH",2022,2022-06-10,0.01513
"494","CAH",2022,2022-06-18,0.0012
"495","CAH",2022,2022-06-26,0.0175
"496","CAH",2022,2022-07-04,0.00924545454545454
"497","CAH",2022,2022-07-12,0.0115714285714286
"498","CAH",2022,2022-07-28,0.0148444444444444
"499","CAH",2023,2023-05-09,0.03475
"500","CAH",2023,2023-05-25,0.05732
"501","CAH",2023,2023-06-02,0.03177
"502","CAH",2023,2023-06-10,0.0298571428571429
"503","CAH",2023,2023-06-18,0.03375
"504","CAH",2023,2023-06-26,0.0216090909090909
"505","CAH",2023,2023-07-04,0.0268
"506","CAH",2023,2023-07-12,0.0259461538461538
"507","CAH",2023,2023-07-20,0.01595
"508","CAH",2023,2023-07-28,0.00202857142857143
"509","CAH",2024,2024-05-08,0.0380222222222222
"510","CAH",2024,2024-05-16,0.03779375
"511","CAH",2024,2024-05-24,0.0405857142857143
"512","CAH",2024,2024-06-09,0.0332571428571429
"513","CAH",2024,2024-06-17,0.0178894736842105
"514","CAH",2024,2024-06-25,0.0247083333333333
"515","CAH",2024,2024-07-03,0.0237071428571429
"516","CAH",2024,2024-07-11,0.0145545454545455
"517","CAH",2024,2024-07-27,0.0161117647058824
"518","CAH",2025,2025-05-01,0.02516
"519","CAH",2025,2025-05-17,0.0377076923076923
"520","CAH",2025,2025-05-25,0.0385222222222222
"521","CAH",2025,2025-06-02,0.0323157894736842
"522","CAH",2025,2025-06-10,0.0323
"523","CAH",2025,2025-06-18,0.0239722222222222
"524","CAH",2025,2025-07-04,0.02145
"525","CAH",2025,2025-07-12,0.025755
"526","CAH",2025,2025-07-20,0.0209
"527","CAH",2025,2025-07-28,0.0201
"528","COL",2013,2013-05-01,0.0222375
"529","COL",2013,2013-05-09,0.04420625
"530","COL",2013,2013-05-17,0.0394625
"531","COL",2013,2013-05-25,0.0473
"532","COL",2013,2013-06-10,0.0361923076923077
"533","COL",2013,2013-06-18,0.0358666666666667
"534","COL",2013,2013-06-26,0.025525
"535","COL",2013,2013-07-12,0.0359692307692308
"536","COL",2013,2013-07-20,0.0311166666666667
"537","COL",2013,2013-07-28,0.0312444444444444
"538","COL",2014,2014-05-01,0.0546
"539","COL",2014,2014-05-17,0.03854
"540","COL",2014,2014-05-25,0.0283117647058824
"541","COL",2014,2014-06-02,0.03535
"542","COL",2014,2014-06-10,0.0243571428571429
"543","COL",2014,2014-06-18,0.022325
"544","COL",2014,2014-06-26,0.0193388888888889
"545","COL",2014,2014-07-04,0.0202473684210526
"546","COL",2014,2014-07-12,0.02197
"547","COL",2014,2014-07-20,0.0216
"548","COL",2014,2014-07-28,0.0302692307692308
"549","COL",2015,2015-05-01,0.0452666666666667
"550","COL",2015,2015-05-09,0.0350235294117647
"551","COL",2015,2015-05-17,0.0494
"552","COL",2015,2015-05-25,0.0377
"553","COL",2015,2015-06-10,0.0138473684210526
"554","COL",2015,2015-06-18,0.00795
"555","COL",2015,2015-06-26,0.0130210526315789
