Pop,Date,Time,Plant_ID,Loc,Year,L_area,L_weight,Trichomes,Conc,herb_p,Leaves,Height,SLA
PS,6/15/2022,2022,PS3,Field,2022,2.968,0.0284,98,0.261289161,0.01,NA,35,104.5070423
PS,6/15/2022,2022,PS4,Field,2022,2.751,0.0286,60,0.361768096,0.03,NA,18,96.18881119
PS,6/15/2022,2022,PS5,Field,2022,2.597,0.0227,120,0.590284505,0.03,NA,23,114.4052863
CAH,6/21/2022,2022,Plant-5-CAH,Field,2022,2.885,0.029,92,0.213458512,0.05,NA,54,99.48275862
CAH,6/21/2022,2022,Plant-8-CAH,Field,2022,2.144,0.0192,80,0.193041159,0.02,NA,45,111.6666667
CAH,6/21/2022,2022,Plant-9-CAH,Field,2022,1.775,0.0211,160,0.277403613,0.06,NA,38,84.12322275
CAH,6/21/2022,2022,Plant-11-CAH,Field,2022,2.628,0.0344,237,0.301912947,0.02,NA,40,76.39534884
CAH,6/21/2022,2022,Plant-12-CAH,Field,2022,2.706,0.0339,222,0.206386665,0.08,NA,30,79.82300885
CAH,6/21/2022,2022,Plant-14-CAH,Field,2022,2.71,0.0241,114,0.175993213,0.07,NA,44,112.4481328
ECO,6/22/2022,2022,Eco1,Field,2022,0.868,0.0076,44,0.203744886,0,NA,32,114.2105263
ECO,6/22/2022,2022,Eco2,Field,2022,0.925,0.0072,64,0.392868101,0.05,NA,28,128.4722222
ECO,6/22/2022,2022,Eco3,Field,2022,0.939,0.005,36,0.257679519,0.02,NA,37,187.8
ECO,6/22/2022,2022,Eco4,Field,2022,1.086,0.0093,24,0.289495929,0.04,NA,34,116.7741935
ECO,6/22/2022,2022,Eco5,Field,2022,0.487,0.0045,204,0.265639712,0.06,NA,31,108.2222222
ECO,6/22/2022,2022,Eco6,Field,2022,0.7,0.0072,56,0.344764924,0.01,NA,28,97.22222222
FLAT,6/23/2022,2022,Flat1,Field,2022,5.059,0.0437,115,0.383890878,0.1,NA,41,115.7665904
FLAT,6/23/2022,2022,Flat2,Field,2022,2.92,0.0356,148,0.76495156,0.05,NA,33,82.02247191
FLAT,6/23/2022,2022,Flat3,Field,2022,2.541,0.0161,95,0.26584862,0.02,NA,37,157.826087
FLAT,6/23/2022,2022,Flat4,Field,2022,4.036,0.0378,72,0.448755067,0.08,NA,31,106.7724868
FLAT,6/23/2022,2022,Flat5,Field,2022,4.088,0.0358,113,0.374293629,0.02,NA,39,114.1899441
FLAT,6/23/2022,2022,Flat6,Field,2022,3.006,0.0283,101,0.042222462,0.15,NA,31,106.2190813
ICH,6/22/2022,2022,Ich1,Field,2022,3.065,0.0223,178,0.81002409,0.03,NA,31,137.4439462
ICH,6/22/2022,2022,Ich2,Field,2022,1.771,0.0121,70,0.811029468,0.06,NA,26,146.3636364
ICH,6/22/2022,2022,Ich3,Field,2022,4.133,0.0228,138,1.052523423,0,NA,37,181.2719298
ICH,6/22/2022,2022,Ich4,Field,2022,2.471,0.0197,178,0.285803096,0.1,NA,46,125.4314721
ICH,6/22/2022,2022,Ich5,Field,2022,2.604,0.0195,210,0.269559676,0.06,NA,26,133.5384615
ICH,6/22/2022,2022,Ich6,Field,2022,5.226,0.0321,152,0.391680061,0.25,NA,47,162.8037383
BR,6/21/2022,2022,BlackRiver1,Field,2022,1.341,0.0126,174,0.546134136,0.03,NA,42,106.4285714
QUI,6/7/2020,2023,QUI-1,Field,2023,2.001,0.0106,125,0.218834866,0.07,11,30,188.7735849
QUI,6/7/2020,2023,QUI-2,Field,2023,1.684,0.0094,148,0.263013291,0.1,8,28,179.1489362
QUI,6/7/2020,2023,QUI-3,Field,2023,1.516,0.0073,123,0.31356918,0.15,12,27,207.6712329
QUI,6/7/2020,2023,QUI-4,Field,2023,1.679,0.0083,116,0.32000462,0.08,6,29,202.2891566
QUI,6/7/2020,2023,QUI-5,Field,2023,1.429,0.0064,97,0.293914998,0.05,6,27,223.28125
QUI,6/7/2020,2023,QUI-6,Field,2023,1.046,0.0057,146,0.36919805,0.1,6,26,183.5087719
QUI,6/7/2020,2023,QUI-7,Field,2023,0.885,0.0037,85,0.351544073,0.05,7,28,239.1891892
QUI,6/7/2020,2023,QUI-8,Field,2023,2.794,0.0144,111,0.353399335,0.03,8,41,194.0277778
QUI,6/7/2020,2023,QUI-9,Field,2023,1.286,0.0064,141,0.30542342,0.06,7,24,200.9375
