"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"BR",2023-06-29,"BR-1E","Garden","Mid","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,NA,22,33,160.957095709571
"BR",2023-07-03,"BR-1E","Garden","Mid","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,2,NA,NA,160.957095709571
"BR",2023-07-10,"BR-1E","Garden","Mid","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,1,NA,NA,160.957095709571
"BR",2023-07-17,"BR-1E","Garden","Late","2023",1.21925,0.007575,152.25,0.245729552755046,0.05,NA,NA,34,27,160.957095709571
"BR",2023-07-28,"BR-1E","Garden","Late","2023",1.21925,0.007575,152.25,0.245729552755046,0.05,NA,NA,NA,NA,160.957095709571
"BR",2023-08-03,"BR-1E","Garden","Late","2023",1.21925,0.007575,152.25,0.245729552755046,0.03,NA,NA,32,25,160.957095709571
"BR",2023-08-07,"BR-1E","Garden","Late","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,NA,NA,NA,160.957095709571
"BR",2023-08-15,"BR-1E","Garden","Late","2023",1.21925,0.007575,152.25,0.245729552755046,0.05,NA,NA,NA,NA,160.957095709571
"BR",2023-06-20,"BR-1H","Garden","Mid","2023",0.88475,0.00535,163.75,0.225264215947468,0,0,0,NA,NA,165.373831775701
"BR",2023-06-29,"BR-1H","Garden","Mid","2023",0.88475,0.00535,163.75,0.225264215947468,0.07,NA,NA,28,19,165.373831775701
"BR",2023-07-03,"BR-1H","Garden","Mid","2023",0.88475,0.00535,163.75,0.225264215947468,0.03,NA,NA,NA,NA,165.373831775701
"BR",2023-07-10,"BR-1H","Garden","Mid","2023",0.88475,0.00535,163.75,0.225264215947468,0.02,NA,NA,NA,NA,165.373831775701
"BR",2023-07-17,"BR-1H","Garden","Late","2023",0.88475,0.00535,163.75,0.225264215947468,0.06,NA,NA,43,23,165.373831775701
"BR",2023-07-28,"BR-1H","Garden","Late","2023",0.88475,0.00535,163.75,0.225264215947468,0.07,NA,NA,NA,NA,165.373831775701
"BR",2023-08-03,"BR-1H","Garden","Late","2023",0.88475,0.00535,163.75,0.225264215947468,0.05,NA,NA,42,23,165.373831775701
"BR",2023-08-07,"BR-1H","Garden","Late","2023",0.88475,0.00535,163.75,0.225264215947468,0.01,NA,NA,NA,NA,165.373831775701
"BR",2023-08-15,"BR-1H","Garden","Late","2023",0.88475,0.00535,163.75,0.225264215947468,0.05,NA,NA,NA,NA,165.373831775701
