Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
SUW-3,SUW,6/14/23,31,13,fl,0,2,0,10,0,1,0,20,120,0.549,0.0017,
SUW-4,SUW,6/14/23,33,8,fl,0,2,0,5,0,0,0,20,124,1.317,0.0044,
SUW-5,SUW,6/14/23,37,15,fl,0,1,0,4,0,40,0,24,132,0.729,0.0028,
SUW-6,SUW,6/14/23,40,29,fl,0,1,0,21,0,1,0,12,122,1.331,0.0061,
SUW-7,SUW,6/14/23,52,23,fl,0,2,0,12,0,0,0,24,116,1.106,0.0043,
SUW-8,SUW,6/14/23,44,11,fl,0,2,0,1,0,2,0,20,132,1.136,0.0056,
SUW-9,SUW,6/14/23,36,19,fl,0,1,0,0,0,2,0,24,82,0.649,0.0029,
SUW-10,SUW,6/14/23,59,14,fl,0,2,0,1,0,2,0,20,144,1.357,0.0044,
SUW-11,SUW,6/14/23,47,14,fl,0,2,0,5,0,3,0,12,118,0.852,0.0031,
SUW-12,SUW,6/14/23,56,15,fl,0,1,0,4,0,15,0,20,96,0.759,0.0026,
SUW-13,SUW,6/14/23,27,8,fl,0,1,0,2,0,0,0,24,156,0.603,0.0035,
SUW-14,SUW,6/14/23,45,16,fl,0,2,0,7,0,2,0,28,148,0.841,0.0035,
SUW-15,SUW,6/14/23,48,11,fl,0,1,0,1,0,55,0,20,140,0.791,0.0039,
SUW-16,SUW,6/14/23,45,18,fl,0,3,0,26,0,2,0,4,76,1.533,0.0059,
SUW-17,SUW,6/14/23,46,10,fl,0,2,0,0,0,0,0,20,120,1.229,0.005,
SUW-18,SUW,6/14/23,38,26,fl,0,6,0,23,0,0,0,12,48,1.17,0.0042,
SUW-19,SUW,6/14/23,47,13,fl,0,5,0,6,0,0,0,28,108,1.528,0.007,
SUW-20,SUW,6/14/23,50,16,fl,0,1,0,15,0,0,0,12,112,0.847,0.0021,
SHE-1,SHE,6/29/23,25,9,fr,1,0,1,7,15,10,0,4,128,2.12,0.0128,
SHE-2,SHE,6/29/23,13,6,fl,1,0,0,1,15,10,0,4,116,0.703,0.0045,
SHE-3,SHE,6/29/23,15,7,fl,2,0,0,0,9,6,0,4,148,0.683,0.0036,
SHE-4,SHE,6/29/23,17,8,fl,1,0,0,3,3,1,0,8,152,1.425,0.0073,
SHE-5,SHE,6/29/23,17,6,fl,1,0,0,4,7,12,0,20,104,1.207,0.0065,
