Date,Region,Pop,Plant_ID,Height,Herbivory,Phenology,Fl_herm,Fl_male,Buds,L_area,L_weight,Trichomes,Spines,Roots,Pop_area,Plant_cover,Latitude,Longitude,Collect_Label
June-17-2022,North,5,2,22,1,V,0,0,0,0.759,0.0058,169,5,Yes,10,5,42.442998,-89.207294,N5 - Plant 2
Aug-10-22,North,5,3,65,5,V,0,0,0,1.69,0.0127,124,5,Yes,10,5,42.443,-89.2073,Culvan-3
June-17-2022,North,5,3,22,1,V,0,0,0,1.898,0.0136,167,3,Yes,10,5,42.442998,-89.207294,N5 - Plant 3
Aug-10-22,North,5,4,40,3,B,0,0,0,1.472,0.0103,104,7,Yes,10,5,42.443,-89.2073,Culvan-4
June-17-2022,North,5,4,20,10,B,0,0,3,2.461,0.0254,240,4,Yes,10,5,42.442998,-89.207294,N5 - Plant 4
Aug-10-22,North,5,5,31,0,Fl,0,2,0,1.193,0.0105,100,10,Yes,10,5,42.443,-89.2073,Culvan-5
June-17-2022,North,5,5,21,1,V,0,0,0,1.964,0.0187,217,12,Yes,10,5,42.442998,-89.207294,N5 - Plant 5
Aug-10-22,North,5,6,61,6,Fr,1,0,13,1.318,0.0103,152,7,Yes,10,5,42.443,-89.2073,Culvan-6
June-17-2022,North,5,6,37,1,B,0,0,4,2.012,0.0151,281,0,Yes,10,5,42.442998,-89.207294,N5 - Plant 6
June-17-2022,North,5,7,16,0,V,0,0,0,1.131,0.0106,289,2,No,10,5,42.442998,-89.207294,N5 - Plant 7
Aug-10-22,North,5,7,45,7,V,0,0,0,,,,,No,10,5,42.443,-89.2073,
June-17-2022,North,5,8,18,0,V,0,0,0,1.447,0.0137,137,5,No,10,5,42.442998,-89.207294,N5 - Plant 8
Aug-10-22,North,5,8,38,5,Fl,1,0,5,,,,,No,10,5,42.443,-89.2073,
June-17-2022,North,5,9,39,2,B,0,0,3,2.549,0.0178,201,6,Yes,10,5,42.442998,-89.207294,N5 - Plant 9
Aug-10-22,North,5,9,35,3,V,0,0,0,,,,,No,10,5,42.443,-89.2073,
Aug-10-22,North,5,10,57,2,Fr,0,2,1,,,,,No,10,5,42.443,-89.2073,
June-17-2022,North,5,10,30,3,V,0,0,0,1.279,0.0078,178,0,No,10,5,42.442998,-89.207294,N5 - Plant 10
June-17-2022,North,5,11,32,3,V,0,0,0,2.112,0.0081,107,2,No,10,5,42.442998,-89.207294,N5 - Plant 11
June-17-2022,North,6,1,20,2,V,0,0,0,0.987,0.0066,323,10,Yes,40,1,42.426433,-89.048089,N6 - Plant 1
June-17-2022,North,6,2,37,0,V,0,0,0,1.29,0.0072,190,7,Yes,40,1,42.426433,-89.048089,N6 - Plant 2
June-17-2022,North,6,3,40,0,V,0,0,0,1.611,0.0113,276,13,Yes,40,1,42.426433,-89.048089,N6 - Plant 3
June-17-2022,North,6,4,22,0,V,0,0,0,1.246,0.0092,415,10,Yes,40,1,42.426433,-89.048089,N6 - Plant 4
June-17-2022,North,6,5,26,1,V,0,0,0,1.297,0.0055,174,4,Yes,40,1,42.426433,-89.048089,N6 - Plant 5
June-17-2022,North,6,6,24,0,V,0,0,0,1.653,0.011,251,7,No,40,1,42.426433,-89.048089,N6 - Plant 6
June-17-2022,North,6,7,41,3,V,0,0,0,1.518,0.0074,126,4,Yes,40,1,42.426433,-89.048089,N6 - Plant 7
June-17-2022,North,6,8,44,0,V,0,0,0,1.807,0.009,171,9,No,40,1,42.426433,-89.048089,N6 - Plant 8
June-17-2022,North,8,1,37,1,V,0,0,0,2.422,0.0161,98,8,Yes,30,1,42.183572,-88.951988,N8 - Plant 1
June-17-2022,North,8,2,35,0,V,0,0,0,2.795,0.0204,96,8,Yes,30,1,42.183572,-88.951988,N8 - Plant 2
June-17-2022,North,8,3,38,5,V,0,0,0,2.534,0.0225,306,15,Yes,30,1,42.183572,-88.951988,N8 - Plant 3
June-17-2022,North,8,4,24,2,V,0,0,0,2.547,0.0182,118,8,Yes,30,1,42.183572,-88.951988,N8 - Plant 4
June-17-2022,North,8,5,26,3,V,0,0,0,5.262,0.043,78,6,Yes,30,1,42.183572,-88.951988,N8 - Plant 5
June-17-2022,North,8,6,34,1,B,0,0,6,3.686,0.0317,126,11,Yes,30,1,42.183572,-88.951988,N8 - Plant 6
June-17-2022,North,8,7,27,0,V,0,0,0,2.794,0.0217,94,10,No,30,1,42.183572,-88.951988,N8 - Plant 7
June-17-2022,North,8,8,25,0,V,0,0,0,1.637,0.0134,124,3,No,30,1,42.183572,-88.951988,N8 - Plant 8
June-17-2022,North,8,9,24,0,V,0,0,0,1.67,0.0116,122,9,No,30,1,42.183572,-88.951988,N8 - Plant 9
June-17-2022,North,8,10,24,0,V,0,0,0,1.677,0.0159,158,19,No,30,1,42.183572,-88.951988,N8 - Plant 10
Aug-12-22,North,9,1,31,2,Fl,3,0,0,1.795,0.0157,104,7,Yes,10,1,43.3909,-88.0238,UWM-1
Aug-12-22,North,9,2,47,1,Fr,0,0,0,1.185,0.0104,100,6,Yes,10,1,43.3909,-88.0238,UWM-2
Aug-12-22,North,9,3,33,2,Fr,3,0,0,1.309,0.012,116,5,Yes,10,1,43.3909,-88.0238,UWM-3
Aug-12-22,North,9,4,30,4,V,0,0,0,2.519,0.0181,76,5,Yes,10,1,43.3909,-88.0238,UWM-4
Aug-12-22,North,9,5,31,2,V,0,0,0,1.877,0.0145,84,2,Yes,10,1,43.3909,-88.0238,UWM-5
Aug-12-22,North,9,6,30,0,V,0,0,0,2.036,0.0147,72,3,Yes,10,1,43.3909,-88.0238,UWM-6
Aug-12-22,North,10,1,28,,V,0,0,0,1.421,0.0069,80,12,Yes,,,43.642057,-88.187774,Kettle-1
Aug-12-22,North,10,2,20,0,B,0,0,3,1.2,0.0062,60,10,Yes,,,43.642057,-88.187774,Kettle-2
Aug-12-22,North,10,3,30,0,B,0,0,4,1.21,0.0064,44,7,Yes,,,43.642057,-88.187774,Kettle-3
Aug-12-22,North,10,4,28,0,Fl,1,0,3,1.07,0.0074,68,5,Yes,,,43.642057,-88.187774,Kettle-4
Aug-12-22,North,10,5,31,0,V,0,0,0,1.45,0.0111,96,8,Yes,,,43.642057,-88.187774,Kettle-5
Aug-12-22,North,10,6,26,0,V,0,0,0,1.145,0.0049,56,14,Yes,,,43.642057,-88.187774,Kettle-6
June-17-2022,North,7A,1,53,0,B,0,0,4,2.24,0.0153,295,19,Yes,100,1,42.201105,-88.96555,N7A - Plant 1
June-17-2022,North,7A,2,20,0,V,0,0,0,2.061,0.0157,247,4,Yes,100,1,42.201105,-88.96555,N7A - Plant 2
June-17-2022,North,7A,3,32,0,V,0,0,0,2.497,0.0128,139,9,Yes,100,1,42.201105,-88.96555,N7A - Plant 3
June-17-2022,North,7A,4,29,0,V,0,0,0,1.475,0.0095,395,11,Yes,100,1,42.201105,-88.96555,N7A - Plant 4
June-17-2022,North,7A,5,25,0,V,0,0,0,2.296,0.0182,250,13,Yes,100,1,42.201105,-88.96555,N7A - Plant 5
June-17-2022,North,7A,6,57,2,V,0,0,0,3.502,0.0171,94,12,Yes,100,1,42.201105,-88.96555,N7A - Plant 6
June-17-2022,North,7A,7,38,0,B,0,0,7,1.92,0.0156,242,14,Yes,100,1,42.201105,-88.96555,N7A - Plant 7
June-17-2022,North,7A,8,25,0,V,0,0,0,2.64,0.0174,226,6,No,100,1,42.201105,-88.96555,N7A - Plant 8
June-17-2022,North,7A,9,33,0,V,0,0,0,2.461,0.022,455,15,No,100,1,42.201105,-88.96555,N7A - Plant 9
June-17-2022,North,7A,10,32,0,V,0,0,0,2.213,0.0179,398,14,No,100,1,42.201105,-88.96555,N7A - Plant 10
June-17-2022,North,7A,11,24,0,Fl,4,4,10,1.397,0.0089,160,7,No,100,1,42.201105,-88.96555,N7A - Plant 11
Aug-10-22,North,7B,1,46,1,Fl,3,0,12,3.104,0.0248,100,12,Yes,1815,1,42.1998,-88.9576,Deer-Run-1
Aug-10-22,North,7B,2,44,6,Fr,0,0,0,1.247,0.0089,116,14,Yes,1815,1,42.1998,-88.9576,Deer-Run-2
Aug-10-22,North,7B,3,55,5,B,0,0,2,1.602,0.0147,188,7,Yes,1815,1,42.1998,-88.9576,Deer-Run-3
Aug-10-22,North,7B,4,50,3,Fl,1,3,4,1.907,0.0116,108,9,Yes,1815,1,42.1998,-88.9576,Deer-Run-4
Aug-10-22,North,7B,5,53,2,Fr,2,4,6,1.582,0.0136,116,10,Yes,1815,1,42.1998,-88.9576,Deer-Run-5
Aug-10-22,North,7B,6,37,3,Fr,0,0,0,1.187,0.012,144,9,Yes,1815,1,42.1998,-88.9576,Deer-Run-6
Aug-10-22,North,7B,7,39,1,V,0,0,0,,,,,No,1815,1,42.1998,-88.9576,
Aug-10-22,North,7B,8,20,0,V,0,0,0,,,,,No,1815,1,42.1998,-88.9576,
Aug-10-22,North,7B,9,48,1,Fr,4,4,4,,,,,No,1815,1,42.1998,-88.9576,
Aug-10-22,North,7B,10,58,4,Fl,1,1,1,,,,,No,1815,1,42.1998,-88.9576,
Aug-10-22,North,7B,11,33,3,V,0,0,0,,,,,No,1815,1,42.1998,-88.9576,
Jun-6-2022,South,1,1,33,1,Fl,3,0,5,1.756,0.0111,45,8,Yes,125,25,29.613501,-82.360194,Plant1_Pop Dudu
